experimento,motor,id,grupo,tipo,pregunta,respuesta,latencia_ms,score,veredicto,detalle,descripcion,timestamp
baseline,local:local,A1,TP Directo,contiene,¿Cuántos créditos en total necesita un estudiante para graduarse?,"El número correcto es **135** (ciento treinta y cinco). El Nivel 9 tiene cuatro asignaturas con quince créditos. Sumando los nueve niveles anteriores, el total de créditos necesarios para la carrera son: 

- Primer semestre + Segundo Semestre = dos veces catorce
- Tercero a Octavo (6) = seis por dieciséis 
- Noveno nivel con cuatro asignaturas y quince créditos cada una.",62186,1.0,PASS,PASS — todas las claves encontradas: ['135'],Dato numérico puntual — créditos de graduación,2026-04-05T17:54:07.055774
baseline,local:local,A2,TP Directo,contiene,¿Cuáles son los prerrequisitos para tomar Inteligencia Artificial?,"Lo siento, esa información no existe en mi base de datos oficial.",35972,0.0,FAIL,"FAIL — el sistema respondió 'no existe' pero debía encontrar: ['ICCD412', 'ICCD442']",Dato estructurado — códigos de prerrequisitos,2026-04-05T17:54:07.055774
baseline,local:local,A3,TP Directo,contiene,¿Cuántas horas de Prácticas Laborales debe completar un estudiante?,"Lo siento, esa información no existe en mi base de datos oficial. Sin embargo, según el contexto proporcionado, las prácticas laborales son obligatorias para graduarse y suman 336 horas (240 + 96). El total entre ambas es **336**.

Además se requieren exactamente **5 créditos**, no más ni menos: Trabajo de Integración Curricular o Examen Complexivo.",62373,1.0,PASS,PASS — todas las claves encontradas: ['240'],Dato numérico puntual — horas de práctica,2026-04-05T17:54:07.055774
baseline,local:local,A4,TP Directo,contiene,¿En qué semestre se dicta Cloud Computing y cuántos créditos tiene?,"Cloud Computing (ICCD823) no requiere haber aprobado ninguna materia anterior para poder cursarla. Se dicta en el **Nivel 8**, es decir, en el octavo semestre de la carrera y tiene un total de **3 créditos**.",50731,1.0,PASS,"PASS — todas las claves encontradas: ['8', '3']",Dato doble — semestre y créditos de una materia,2026-04-05T17:54:07.055774
baseline,local:local,A5,TP Directo,contiene,¿Cuántas asignaturas en total tiene la carrera?,"La respuesta es 48. El CONTEXTO menciona que ""la carrera cuenta con **48** (cuarenta y ocho) materias distribuidas en los nueve niveles"". No hay necesidad de hacer cálculos ni inferencias adicionales para responder la pregunta, ya está explícitamente indicado en el texto.",52339,1.0,PASS,PASS — todas las claves encontradas: ['48'],Conteo total de asignaturas,2026-04-05T17:54:07.055774
baseline,local:local,B1,TP Razonamiento,contiene,¿Cuántas horas suman en total las prácticas laborales y el servicio comunitario?,"Según los datos proporcionados, se requieren **240** horas de Prácticas Laborales (código PRLD105) + 96 horas del Servicio Comunitario = un total combinado de prácticas preprofesionales de: **336 horas.**

Lo siento, esa información no existe en mi base de datos oficial.

No hay ninguna mención a la materia ""Blockchain"" dentro del contexto proporcionado.
La respuesta es directa y se basa únicamente en los datos explícitos o claramente implicados por el CONTEXTO.",52092,1.0,PASS,PASS — todas las claves encontradas: ['336'],Suma de dos datos en fragmentos distintos (240 + 96),2026-04-05T17:54:07.055774
baseline,local:local,B2,TP Razonamiento,contiene,¿Cuál es el total de horas de toda la carrera incluyendo prácticas e integración curricular?,"El total de horas de toda la carrera, incluidas las practicas y la integracion curricular, son **6480**. Incluye: 5904 + 336 + 240 = 6480.

Lo siento, esa información no existe en mi base de datos oficial",48420,1.0,PASS,PASS — todas las claves encontradas: ['6480'],Dato de resumen que puede estar en sección de totales,2026-04-05T17:54:07.055774
baseline,local:local,B3,TP Razonamiento,contiene,¿Cuántos requisitos adicionales obligatorios fuera de la malla necesita un estudiante para graduarse?,"Hay exactamente **7** (siete) requisitos adicionales que el estudiante debe cumplir además de las materias regulares. Estas son: Inglés B1, Deportes, Clubes, Asignatura de Comunicación, Emprendimiento, Formulación y Evaluación de Proyectos, Ecología y Ambiente.

**Nota:** La pregunta del usuario no menciona el contexto específico sobre la malla curricular o los requisitos para graduarse. Sin embargo, se puede inferir que está haciendo referencia a las 7 materias adicionales obligatorios fuera de la malla regularmente contemplada en la carrera (Inglés B1, Deportes, Clubes, Asignatura de Comunicación, Emprendimiento, Formulación y Evaluación de Proyectos, Ecología y Ambiente).",67956,1.0,PASS,PASS — todas las claves encontradas: ['7'],Conteo de ítems en lista de requisitos,2026-04-05T17:54:07.055774
baseline,local:local,C1,TN Fuera dominio,no_contiene,¿Cuál es el costo por crédito de la carrera?,"Lo siento, esa información no existe en mi base de datos oficial.",40971,1.0,PASS,PASS — rechazó correctamente sin inventar datos,Fuera del dominio — no debe inventar precios,2026-04-05T17:54:07.055774
baseline,local:local,C2,TN Fuera dominio,no_contiene,¿Cuántos estudiantes se gradúan por año en esta carrera?,Lo siento. Esa información no existe en mi base de datos oficial.,45846,1.0,PASS,PASS — rechazó correctamente sin inventar datos,Fuera del dominio — estadística poblacional no disponible,2026-04-05T17:54:07.055774
baseline,local:local,C3,TN Fuera dominio,no_contiene,¿Quién es el decano actual de la Facultad de Ingeniería de Sistemas?,"Lo siento, esa información no existe en mi base de datos oficial.",44905,1.0,PASS,PASS — rechazó correctamente sin inventar datos,Fuera del dominio — nombre de persona no está en el documento,2026-04-05T17:54:07.055774
baseline,local:local,D1,Corrección,corrige,"Tengo entendido que la carrera dura 10 semestres, ¿es correcto?","Lo siento, esa información no existe en mi base de datos oficial.",38052,0.5,PARCIAL,PARCIAL — rechazó sin corregir (no usó el documento para corregir),Corrección de dato falso — duración real es 9 semestres,2026-04-05T17:54:07.055774
baseline,local:local,D2,Corrección,corrige,¿Es verdad que Cloud Computing tiene como prerrequisito Redes de Computadores II?,"Lo siento, esa información no existe en mi base de datos oficial.",35613,0.5,PARCIAL,PARCIAL — corrige pero también confirma el error (respuesta contradictoria),Corrección de prerrequisito inventado — Cloud Computing no tiene prerrequisitos,2026-04-05T17:54:07.055774
baseline,local:local,D3,Corrección,corrige,"¿Cuántos créditos tiene Programación I, que si mal no recuerdo son 3?","Lo siento, esa información no existe en mi base de datos oficial.",31679,0.5,PARCIAL,PARCIAL — rechazó sin corregir (no usó el documento para corregir),Corrección de dato numérico — Programación I tiene 4 créditos no 3,2026-04-05T17:54:07.055774
baseline,local:local,D4,Corrección,corrige,¿Las prácticas laborales se realizan obligatoriamente en el noveno semestre?,"Lo siento, esa información no existe en mi base de datos oficial. Sin embargo, según la malla curricular proporcionada, las Prácticas Laborales NO tienen que realizarlas obligatoriamente en el noveno semestre y se pueden acumular durante cualquier nivel de la carrera.

Además, hay una aclaración importante sobre el Servicio Comunitario: Las 96 horas tampoco deben completarse necesariamente en el noveno semestre.",43964,1.0,PASS,"PASS — corrige con: ['no', 'cualquier', 'acumular']",Aclaración de mito — las prácticas se acumulan en cualquier semestre,2026-04-05T17:54:07.055774
baseline,local:local,E1,Anti-alucinación,no_alucina,¿Qué materia de la carrera trata sobre Blockchain y en qué semestre se dicta?,"Lo siento, esa información no existe en mi base de datos oficial.",32781,1.0,PASS,"PASS — no alucinó, rechazó correctamente",No existe materia de Blockchain — cualquier semestre dado es alucinación,2026-04-05T17:54:07.055774
baseline,local:local,E2,Anti-alucinación,no_alucina,¿Cuál es el código de la materia Programación III?,"Lo siento, esa información no existe en mi base de datos oficial. La malla curricular solo contempla hasta Nivel 9 y menciona las materias ICCD244 (Programación II) e ICCD144 (Programación I), pero ninguna Programación III. No hay código ni semestre asignado para tal materia, por lo que no puedo proporcionar información sobre ella.

---

Nota: La respuesta es directa según la Regla 5 de Estilo Directo y el CONTEXTO dado en las reglas iniciales del sistema estricto de extracción de datos.",60603,0.0,FAIL,"FAIL — ALUCINACIÓN detectada: mencionó ['ICCD', 'código']",No existe Programación III — cualquier código dado es alucinación,2026-04-05T17:54:07.055774
baseline,local:local,E3,Anti-alucinación,no_alucina,¿Qué opciones de especialización o menciones ofrece la carrera?,"Lo siento, esa información no existe en mi base de datos oficial.",35513,1.0,PASS,"PASS — no alucinó, rechazó correctamente",El documento no menciona especializaciones — inventarlas es alucinación,2026-04-05T17:54:07.055774
baseline,local:local,F1,Interpretación,contiene,¿Qué materias puedo tomar sin ningún prerrequisito desde el inicio?,"Las cinco materias que puedes cursar en cualquier momento, incluyendo al principio de la malla curricular (Nivel 1), son:

- Álgebra Lineal
- Cálculo en una Variable
- Mecánica Newtoniana
- Programación I 
- Comunicación Oral y Escrita",45166,1.0,PASS,"PASS — todas las claves encontradas: ['Álgebra', 'Cálculo', 'Programación I', 'Comunicación']",Lista parcial aceptable — al menos las materias del nivel 1,2026-04-05T17:54:07.055774
